carat,cut,color,clarity,depth_percentage,table,length,width,depth,price
1.05,Premium,G,VS1,61.6,58.0,6.48,6.51,4.0,6936
0.35,Ideal,H,IF,61.9,55.0,4.54,4.51,2.8,984
0.65,Premium,E,SI2,61.4,59.0,5.57,5.52,3.41,1640
1.51,Very Good,I,VS2,60.4,58.0,7.36,7.42,4.46,9178
1.37,Very Good,J,SI2,60.7,60.0,7.07,7.19,4.33,5063
1.27,Premium,F,VVS2,61.3,60.0,6.9,6.99,4.26,11797
0.75,Ideal,E,SI1,61.4,57.0,5.82,5.87,3.59,2831
1.33,Good,G,VS1,62.8,60.0,6.87,6.92,4.33,10096
0.51,Ideal,I,SI2,62.2,55.0,5.14,5.15,3.2,913
0.43,Ideal,D,VS2,61.3,55.0,4.84,4.88,2.98,1314
0.77,Ideal,D,SI2,60.6,56.0,5.95,5.9,3.59,2922
1.35,Ideal,G,VS1,62.7,57.0,7.02,7.07,4.42,10656
0.41,Very Good,F,SI1,62.6,55.0,4.74,4.78,2.98,755
0.41,Good,I,SI1,63.8,57.0,4.67,4.7,2.99,611
0.43,Ideal,E,VVS2,62.0,57.0,4.87,4.84,3.01,1304
1.17,Ideal,J,VS1,62.5,57.0,6.68,6.63,4.16,5242
0.4,Ideal,F,VVS2,62.0,56.0,4.76,4.73,2.94,1085
0.59,Ideal,G,VS2,61.9,56.0,5.39,5.44,3.35,1844
0.24,Ideal,F,VS1,61.8,54.0,3.99,4.03,2.48,572
1.1,Ideal,J,SI2,60.1,57.0,6.77,6.74,4.06,4624
1.2,Good,G,VS1,63.6,58.0,6.59,6.56,4.18,8387
1.04,Ideal,I,VS1,61.8,56.0,6.49,6.51,4.02,5229
1.51,Premium,J,VS2,60.2,59.0,7.36,7.35,4.43,7553
0.72,Premium,F,VS2,60.8,58.0,5.78,5.74,3.5,2530
0.32,Ideal,D,SI1,62.5,54.0,4.41,4.39,2.75,756
0.7,Very Good,G,VS1,59.2,58.0,5.8,5.83,3.44,2676
0.33,Ideal,F,VS2,62.3,55.0,4.47,4.42,2.77,854
1.62,Ideal,I,VS1,60.8,56.0,7.56,7.61,4.62,11152
0.5,Premium,G,VVS1,61.0,60.0,5.12,5.08,3.11,2070
0.35,Ideal,F,SI2,62.8,55.0,4.53,4.48,2.83,591
1.53,Ideal,F,SI1,62.0,56.0,7.43,7.38,4.59,11229
0.84,Good,I,VS1,63.7,59.0,5.94,5.9,3.77,2753
0.54,Ideal,I,VS1,61.5,56.0,5.24,5.26,3.23,1147
0.97,Premium,H,SI1,61.9,60.0,6.37,6.3,3.92,4172
1.26,Very Good,E,SI2,62.9,59.0,6.82,6.85,4.3,5976
1.25,Ideal,F,VS1,62.0,55.0,6.91,6.95,4.3,9586
1.51,Good,I,SI1,63.9,59.0,7.26,7.18,4.61,9234
0.54,Ideal,G,SI1,61.9,54.0,5.26,5.28,3.26,1368
2.01,Premium,J,SI1,62.3,59.0,8.03,7.97,4.98,12048
0.31,Ideal,D,SI1,62.2,55.0,4.37,4.34,2.71,732
0.75,Premium,D,SI2,60.6,56.0,5.94,5.9,3.59,2337
0.41,Very Good,H,SI1,58.1,61.0,4.91,4.97,2.87,778
1.01,Good,D,VS2,61.6,61.0,6.43,6.45,3.97,6429
1.01,Very Good,H,SI1,63.0,57.0,6.34,6.36,4.0,5172
0.33,Ideal,E,VS2,60.6,55.0,4.5,4.48,2.72,928
0.3,Good,G,IF,63.8,55.0,4.28,4.24,2.72,956
0.4,Very Good,F,SI1,62.9,57.0,4.68,4.7,2.95,737
1.5,Premium,G,SI2,58.3,61.0,7.55,7.4,4.34,6720
0.31,Ideal,I,VS2,61.0,57.0,4.37,4.38,2.67,452
1.01,Good,G,SI1,63.6,57.0,6.37,6.33,4.04,4672
1.52,Premium,G,SI2,60.9,57.0,7.5,7.44,4.55,8299
0.53,Very Good,F,VS1,60.6,57.0,5.21,5.25,3.17,1607
0.42,Very Good,G,VS2,60.1,61.0,4.81,4.84,2.9,847
0.32,Ideal,F,VS2,62.4,54.0,4.4,4.38,2.74,828
1.7,Ideal,I,SI1,62.9,57.0,7.57,7.5,4.74,9901
0.92,Very Good,H,SI2,62.8,59.0,6.14,6.16,3.86,3417
0.32,Ideal,I,VVS1,61.7,55.0,4.39,4.4,2.71,589
0.52,Ideal,G,VVS2,60.8,57.0,5.2,5.17,3.15,1878
1.05,Ideal,G,SI2,62.3,56.0,6.52,6.58,4.08,4561
0.5,Ideal,G,VVS2,62.8,57.0,5.07,5.05,3.18,1858
0.55,Ideal,D,SI2,60.9,57.0,5.26,5.29,3.21,1363
0.3,Ideal,E,VVS2,61.5,55.0,4.33,4.35,2.67,731
1.21,Premium,D,SI2,62.2,60.0,6.83,6.8,4.24,5997
0.43,Premium,G,VS1,62.2,59.0,4.84,4.81,3.0,1008
0.38,Ideal,H,VVS2,62.1,56.0,4.64,4.67,2.89,1031
0.37,Premium,G,VS2,62.8,60.0,4.59,4.55,2.87,833
0.33,Premium,I,VS1,62.7,58.0,4.43,4.4,2.77,668
0.44,Premium,G,SI1,60.1,60.0,4.86,4.95,2.95,772
0.41,Ideal,H,VVS1,62.7,54.0,4.79,4.78,3.0,1115
1.06,Ideal,F,SI2,62.7,56.0,6.52,6.47,4.07,3461
0.33,Premium,D,SI2,62.1,58.0,4.43,4.4,2.74,631
0.8,Very Good,H,VS2,63.4,60.0,5.92,5.82,3.72,2797
1.5,Ideal,J,VS2,61.6,58.0,7.33,7.38,4.53,7515
0.36,Ideal,E,VS2,62.1,55.0,4.54,4.58,2.83,789
1.53,Premium,E,SI1,60.8,60.0,7.51,7.43,4.54,12499
0.83,Fair,H,SI2,65.1,59.0,5.84,5.81,3.79,2133
0.3,Ideal,H,VS2,62.4,54.0,4.31,4.34,2.7,491
0.54,Premium,D,SI1,62.6,57.0,5.21,5.12,3.23,1650
0.57,Ideal,E,VS1,62.9,57.0,5.29,5.27,3.32,1982
0.32,Good,E,VS2,57.0,60.0,4.6,4.53,2.6,780
0.32,Ideal,G,VS2,62.4,55.0,4.39,4.36,2.73,672
0.23,Very Good,D,VS2,61.6,58.0,3.96,3.99,2.45,402
0.71,Good,I,VS2,64.0,59.0,5.61,5.55,3.57,1840
0.42,Ideal,G,VS1,61.0,56.0,4.82,4.86,2.95,823
0.41,Good,F,I1,63.8,57.0,4.72,4.69,3.0,646
0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,1637
0.35,Ideal,F,VS2,62.1,56.0,4.54,4.57,2.83,706
0.33,Very Good,E,VS2,62.8,56.0,4.41,4.45,2.78,723
0.7,Very Good,F,VS2,63.4,56.0,5.69,5.63,3.59,2455
0.4,Ideal,F,VS1,62.0,56.0,4.73,4.75,2.94,890
0.32,Premium,G,VS1,59.2,59.0,4.47,4.45,2.64,828
0.72,Premium,I,VS2,61.1,61.0,5.79,5.74,3.52,1991
0.3,Ideal,E,VVS1,61.7,58.0,4.28,4.31,2.65,862
0.72,Premium,F,SI1,59.3,60.0,5.91,5.86,3.49,2030
1.03,Very Good,E,VS1,61.5,58.0,6.43,6.55,3.99,7477
0.52,Ideal,G,VVS2,61.7,55.0,5.19,5.22,3.21,1911
0.3,Good,H,SI1,63.7,57.0,4.26,4.28,2.72,432
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1987
1.04,Premium,J,VS2,58.7,58.0,6.68,6.61,3.9,4043
0.42,Ideal,F,VS1,61.6,56.0,4.82,4.8,2.96,1082
0.73,Ideal,H,IF,62.3,55.0,5.77,5.79,3.6,3785
0.42,Good,E,SI1,63.6,61.0,4.73,4.7,3.0,945
0.3,Premium,D,VS2,61.0,60.0,4.29,4.33,2.63,710
1.5,Premium,D,SI1,60.5,59.0,7.44,7.39,4.49,11489
0.71,Fair,F,SI2,60.1,68.0,5.8,5.72,3.46,2327
0.55,Good,D,IF,58.0,62.0,5.31,5.41,3.12,3509
0.41,Good,G,SI1,64.3,54.0,4.68,4.72,3.02,646
0.3,Ideal,F,SI1,61.9,57.0,4.31,4.35,2.68,475
0.36,Good,E,SI2,63.7,54.0,4.52,4.55,2.89,505
0.42,Ideal,I,SI1,61.8,55.0,4.81,4.83,2.98,833
1.51,Fair,I,VS2,64.8,60.0,7.18,7.1,4.63,8879
0.41,Ideal,H,VS1,61.1,56.0,4.83,4.86,2.96,1269
0.74,Fair,E,SI2,66.7,62.0,5.49,5.43,3.64,2617
1.21,Good,E,VS2,62.7,61.0,6.67,6.72,4.2,9176
0.28,Very Good,H,VS2,61.4,57.0,4.21,4.23,2.59,376
1.51,Ideal,H,VS1,62.6,56.0,7.32,7.28,4.57,11686
1.01,Ideal,E,VS2,62.5,54.0,6.39,6.42,4.0,7597
0.81,Ideal,D,VS2,59.5,60.0,6.08,6.15,3.64,4315
1.23,Premium,I,SI1,60.3,58.0,6.95,6.92,4.18,5717
0.91,Ideal,I,VS2,62.2,56.0,6.22,6.18,3.86,3751
0.36,Premium,D,VS2,61.0,58.0,4.62,4.59,2.81,1094
0.38,Ideal,E,SI1,61.1,55.0,4.69,4.73,2.88,844
1.01,Premium,H,SI1,60.0,62.0,6.51,6.45,3.89,4836
0.58,Ideal,F,VVS2,61.8,56.0,5.37,5.41,3.33,2263
0.49,Ideal,D,VS1,62.3,55.0,5.03,5.05,3.14,1934
0.54,Very Good,F,SI1,61.2,55.0,5.23,5.29,3.22,1346
0.6,Very Good,F,VS2,59.5,57.8,5.48,5.56,3.28,1940
1.01,Good,G,SI2,63.7,58.0,6.31,6.35,4.03,3852
1.01,Premium,E,VS2,62.4,60.0,6.43,6.39,4.0,6606
0.52,Ideal,G,IF,61.7,56.0,5.19,5.15,3.19,2387
0.31,Very Good,G,VS2,63.4,59.0,4.32,4.29,2.73,698
1.21,Ideal,J,VS2,62.6,54.2,6.79,6.81,4.26,5275
0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,435
0.56,Very Good,E,VVS2,62.1,58.0,5.27,5.33,3.3,2040
0.7,Very Good,F,VVS2,61.6,63.0,5.65,5.69,3.49,3275
0.41,Premium,G,VS2,59.7,59.0,4.84,4.81,2.88,1061
2.04,Premium,I,VS2,62.5,58.0,8.22,8.09,5.1,17028
0.38,Ideal,F,VVS1,62.4,54.0,4.66,4.7,2.92,1096
1.75,Very Good,I,SI1,62.8,59.0,7.62,7.66,4.8,10635
1.0,Fair,H,SI2,66.1,59.0,6.18,6.13,4.07,3472
1.51,Ideal,I,VS2,62.9,53.0,7.37,7.33,4.62,9471
0.5,Premium,D,SI1,62.6,56.0,5.05,5.04,3.16,1654
0.56,Ideal,D,VS2,61.4,57.0,5.32,5.36,3.28,1963
0.71,Ideal,H,VS1,61.4,56.0,5.74,5.78,3.54,3229
1.01,Very Good,D,SI1,62.4,58.0,6.39,6.47,4.01,4666
1.0,Fair,F,SI1,62.6,59.0,6.25,6.3,3.93,4925
0.53,Ideal,D,SI2,61.6,55.0,5.21,5.24,3.22,1316
0.32,Ideal,H,VS1,61.8,55.0,4.42,4.41,2.73,720
0.9,Good,D,SI2,64.0,59.0,6.04,6.09,3.88,4078
1.39,Premium,G,VS2,62.0,56.0,7.18,7.14,4.44,8874
0.33,Ideal,G,IF,61.8,55.0,4.45,4.48,2.76,984
0.74,Ideal,F,VS2,61.9,57.0,5.79,5.81,3.59,3454
1.01,Good,E,SI1,63.9,56.0,6.37,6.31,4.05,5724
1.32,Ideal,I,VVS1,61.0,56.0,7.09,7.07,4.32,8501
0.36,Ideal,D,VS2,60.6,57.0,4.61,4.57,2.78,1094
1.0,Fair,G,SI1,65.7,54.0,6.24,6.16,4.07,2964
0.51,Fair,F,VVS2,60.7,66.0,5.21,5.11,3.13,4368
0.32,Ideal,E,VVS2,61.4,54.0,4.44,4.45,2.73,843
1.16,Premium,G,SI2,62.6,58.0,6.72,6.66,4.19,4969
0.32,Very Good,E,SI1,62.2,57.0,4.38,4.43,2.74,561
0.42,Premium,E,SI1,62.7,57.0,4.83,4.77,3.01,992
0.71,Ideal,H,SI2,62.6,56.0,5.75,5.69,3.58,1800
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1781
1.0,Good,F,SI1,64.9,57.0,6.25,6.32,4.08,4844
1.28,Ideal,H,SI1,62.4,56.0,6.93,6.91,4.32,6701
0.9,Fair,E,SI2,65.8,59.0,6.03,5.98,3.95,2982
1.7,Ideal,F,VS2,62.3,56.0,7.65,7.61,4.75,18055
0.3,Ideal,G,VS1,61.7,57.0,4.32,4.3,2.66,776
0.64,Ideal,H,SI2,60.8,56.0,5.57,5.61,3.4,1125
0.31,Ideal,G,VS2,61.8,57.0,4.34,4.36,2.69,544
0.54,Premium,G,VVS1,60.7,56.0,5.3,5.25,3.2,2236
1.31,Very Good,I,VS2,61.2,58.0,7.01,7.05,4.3,6917
0.55,Ideal,G,VS1,61.5,57.0,5.28,5.23,3.23,1856
1.11,Good,E,SI1,61.4,57.5,6.62,6.66,4.08,6178
1.24,Very Good,H,SI2,61.2,57.0,6.87,7.02,4.25,5592
0.5,Premium,F,SI2,62.3,59.0,5.1,5.04,3.16,1016
0.5,Very Good,E,SI2,61.6,58.0,5.08,5.11,3.14,1235
1.47,Very Good,J,VS2,62.5,59.0,7.18,7.23,4.5,6763
0.32,Ideal,D,VVS1,62.6,57.0,4.34,4.41,2.74,917
0.93,Fair,G,SI2,66.1,58.1,6.0,6.04,3.98,3172
0.91,Very Good,G,VVS2,62.1,60.0,6.14,6.19,3.83,4913
1.09,Ideal,D,SI1,62.7,56.0,6.55,6.59,4.12,6133
0.9,Premium,E,SI1,61.9,58.0,6.17,6.1,3.8,4209
1.24,Very Good,J,VS1,62.4,59.4,6.81,6.89,4.27,5783
0.33,Ideal,H,SI2,61.4,56.0,4.85,4.79,2.95,554
0.31,Good,I,VS1,63.8,56.0,4.27,4.32,2.74,489
0.35,Premium,F,VS2,61.4,59.0,4.56,4.53,2.79,906
0.3,Ideal,F,VVS1,61.8,54.0,4.33,4.37,2.69,802
0.97,Good,J,VS2,60.0,56.0,6.4,6.46,3.86,3717
0.24,Very Good,D,VS1,61.4,58.0,3.99,4.02,2.46,419
1.21,Ideal,H,SI1,61.2,57.0,6.86,6.93,4.22,5973
0.52,Ideal,D,VS2,61.0,57.0,5.21,5.18,3.17,1868
0.31,Very Good,D,SI1,60.2,56.0,4.37,4.4,2.64,571
0.26,Very Good,E,VVS2,61.4,57.0,4.1,4.13,2.52,506
0.36,Ideal,D,VVS2,61.6,57.0,4.56,4.59,2.82,1042
2.77,Premium,H,I1,62.6,62.0,8.93,8.83,5.56,10424
0.41,Ideal,J,VS1,62.7,56.0,4.73,4.77,2.98,703
0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,1785
1.03,Good,E,VS1,63.3,59.0,6.4,6.45,4.07,7251
0.38,Ideal,I,VS1,61.6,55.0,4.68,4.73,2.9,700
1.97,Premium,H,VS2,62.9,59.0,8.01,7.9,5.0,17535
0.35,Ideal,E,VVS1,62.2,56.0,4.53,4.51,2.81,1116
0.31,Good,D,SI1,63.4,58.0,4.32,4.35,2.75,571
1.56,Ideal,H,SI1,62.2,55.0,7.41,7.45,4.62,12082
1.26,Very Good,I,VS1,59.2,60.0,7.09,7.02,4.18,6855
1.5,Good,G,SI2,64.3,57.0,7.29,7.2,4.66,8190
1.18,Ideal,D,SI1,61.9,55.0,6.76,6.8,4.2,7087
0.37,Premium,F,VVS2,62.9,56.0,4.58,4.52,2.86,948
0.31,Premium,I,VVS2,62.1,58.0,4.33,4.37,2.7,544
0.51,Very Good,H,VS2,63.5,60.0,5.04,5.01,3.19,1268
0.3,Good,H,VVS2,63.1,60.0,4.24,4.28,2.69,605
0.32,Very Good,G,SI1,62.8,56.0,4.34,4.36,2.73,477
0.56,Premium,E,VS1,62.6,58.0,5.23,5.28,3.29,1930
1.09,Ideal,F,VS1,61.7,57.0,6.58,6.62,4.07,8730
0.45,Fair,E,VS2,66.9,60.0,4.78,4.71,3.18,980
0.59,Ideal,E,SI1,62.2,57.0,5.34,5.37,3.33,1630
0.7,Ideal,H,SI1,61.7,57.0,5.7,5.68,3.51,2375
0.53,Premium,D,VS2,60.4,58.0,5.23,5.26,3.17,1857
1.11,Ideal,G,VVS2,63.1,57.0,6.55,6.6,4.15,8843
1.09,Ideal,F,IF,61.4,55.0,6.61,6.68,4.09,11846
1.01,Premium,E,SI2,62.8,57.0,6.41,6.36,4.01,4054
0.26,Good,F,VVS1,64.0,57.0,4.06,4.03,2.59,679
0.67,Good,D,SI1,63.8,57.0,5.53,5.48,3.51,2258
0.33,Ideal,H,IF,62.1,55.0,4.44,4.41,2.75,1114
1.07,Premium,H,VS2,62.1,59.0,6.52,6.56,4.06,5327
0.7,Very Good,G,SI1,61.8,56.0,5.7,5.76,3.54,2106
2.2,Very Good,H,SI2,63.3,57.0,8.28,8.17,5.21,11088
1.0,Fair,J,SI1,65.3,57.0,6.33,6.12,4.08,3175
1.01,Premium,F,VS1,61.4,60.0,6.45,6.39,3.94,7792
0.77,Ideal,G,VS2,62.1,56.0,5.84,5.88,3.64,3544
1.1,Ideal,F,VS1,61.5,55.0,6.69,6.64,4.1,8796
0.51,Very Good,F,VS1,62.5,54.0,5.13,5.15,3.21,1751
1.07,Ideal,G,VVS2,61.9,56.0,6.6,6.62,4.09,9169
0.75,Very Good,F,SI2,58.6,60.0,5.99,6.03,3.52,2111
0.5,Fair,D,VVS1,65.9,64.0,4.92,5.03,3.28,1792
1.01,Very Good,D,SI2,61.5,56.0,6.39,6.46,3.95,4719
0.51,Ideal,F,VVS2,62.2,56.0,5.08,5.12,3.17,2093
1.29,Ideal,H,SI2,61.6,54.0,7.0,7.02,4.32,6300
0.6,Very Good,G,IF,61.6,56.0,5.43,5.46,3.35,2800
0.53,Good,J,VS2,63.8,57.0,5.12,5.1,3.26,1122
1.33,Premium,H,SI2,61.0,59.0,7.1,7.06,4.32,5437
1.01,Premium,J,SI2,58.3,62.0,6.49,6.43,3.77,2683
0.53,Ideal,D,SI1,62.2,56.0,5.19,5.23,3.24,1631
2.54,Very Good,I,SI2,63.5,58.0,8.67,8.56,5.47,15394
1.01,Good,E,SI1,58.6,62.0,6.58,6.6,3.86,5233
0.33,Ideal,J,SI2,62.4,54.0,4.43,4.45,2.77,366
0.76,Good,J,SI1,63.8,57.0,5.78,5.74,3.67,1809
0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,817
1.09,Very Good,I,SI2,62.5,57.0,6.56,6.58,4.11,4584
0.46,Premium,F,VS1,63.0,57.0,4.93,4.79,3.06,1139
1.01,Ideal,F,VS1,62.5,54.0,6.46,6.43,4.03,7602
0.51,Good,G,SI2,63.6,54.0,5.05,5.08,3.22,1029
2.01,Very Good,J,SI1,61.6,60.0,7.99,8.02,4.93,12084
0.41,Ideal,G,VS2,60.9,56.0,4.82,4.84,2.94,949
0.3,Premium,G,IF,60.0,59.0,4.34,4.32,2.6,956
1.12,Ideal,F,VS1,61.8,56.0,6.67,6.69,4.13,9007
0.63,Premium,H,VS1,61.7,59.0,5.53,5.49,3.4,1996
0.51,Premium,G,VS2,62.7,58.0,5.12,5.09,3.2,1546
0.9,Very Good,H,SI1,63.3,58.0,6.04,6.13,3.85,3500
1.25,Ideal,J,SI1,62.1,58.0,6.86,6.89,4.27,5252
0.32,Good,D,I1,64.0,54.0,4.33,4.36,2.78,361
0.7,Good,E,SI1,58.3,64.0,5.77,5.69,3.34,2370
0.72,Ideal,I,VVS2,61.7,55.0,5.71,5.76,3.54,2530
2.43,Very Good,H,SI2,63.2,57.0,8.56,8.5,5.39,16170
0.34,Ideal,I,SI1,61.9,57.0,4.49,4.52,2.79,459
0.56,Ideal,G,VS1,61.0,56.0,5.31,5.35,3.25,2230
1.5,Premium,H,SI2,61.1,59.0,7.41,7.35,4.51,6250
0.3,Ideal,G,IF,61.2,57.0,4.35,4.38,2.67,863
1.21,Ideal,D,SI1,63.0,57.0,6.82,6.76,4.28,7589
2.01,Good,G,SI1,60.8,61.0,7.99,8.09,4.89,18077
1.06,Very Good,H,VS1,62.2,59.0,6.47,6.52,4.04,5456
2.0,Ideal,I,SI1,62.8,56.0,8.04,7.95,5.02,15258
1.0,Ideal,F,VS1,61.4,56.0,6.46,6.51,3.98,7177
0.73,Very Good,E,SI1,63.2,58.0,5.71,5.74,3.62,2679
0.54,Premium,F,VS2,62.4,55.0,5.23,5.19,3.25,1814
0.54,Premium,D,VS1,60.5,58.0,5.27,5.21,3.17,1847
1.02,Ideal,I,SI2,60.7,57.0,6.54,6.57,3.98,3786
0.3,Ideal,F,VVS1,62.1,55.0,4.32,4.31,2.68,1114
1.53,Ideal,G,VVS2,61.2,57.0,7.4,7.44,4.53,15137
0.3,Ideal,G,SI1,60.6,56.0,4.35,4.4,2.65,432
1.2,Very Good,I,SI1,62.6,59.0,6.75,6.71,4.21,5522
0.31,Ideal,D,SI1,61.2,55.0,4.49,4.37,2.71,732
1.01,Very Good,G,SI2,63.0,58.0,6.29,6.34,3.98,3966
0.25,Very Good,G,VVS1,60.6,55.0,4.12,4.14,2.5,525
1.01,Fair,E,SI1,64.8,58.0,6.34,6.29,4.09,4480
1.25,Very Good,F,SI2,58.0,63.0,7.16,7.06,4.13,5851
1.87,Premium,I,SI2,60.3,61.0,7.95,7.91,4.78,11105
0.4,Good,F,VVS1,61.9,61.0,4.71,4.73,2.92,1349
1.15,Ideal,H,SI1,62.4,54.0,6.71,6.76,4.2,6106
1.3,Premium,F,VS2,60.4,59.0,7.12,7.06,4.28,10090
1.51,Ideal,G,VS2,61.9,57.0,7.37,7.3,4.54,13115
0.49,Ideal,E,VS2,61.3,55.0,5.11,5.13,3.14,1609
0.52,Ideal,G,VS1,62.3,54.0,5.15,5.18,3.22,1629
0.4,Very Good,H,VVS2,63.2,55.0,4.73,4.7,2.98,1125
0.7,Premium,F,SI2,59.6,60.0,5.77,5.71,3.42,2139
0.36,Premium,G,VS1,61.2,60.0,4.59,4.56,2.8,932
0.92,Ideal,E,SI1,61.4,55.0,6.29,6.25,3.85,4183
0.91,Ideal,E,VVS1,61.7,56.0,6.18,6.23,3.83,9636
0.55,Premium,E,SI1,62.4,57.6,5.23,5.28,3.27,1630
0.5,Fair,D,SI1,64.6,61.0,5.05,4.95,3.23,1238
1.11,Ideal,E,SI2,61.2,55.0,6.72,6.68,4.1,5358
1.01,Premium,H,SI1,61.2,58.0,6.47,6.43,3.95,4642
0.32,Ideal,G,IF,61.7,56.0,4.39,4.42,2.72,918
2.03,Premium,G,SI1,61.3,59.0,8.11,8.08,4.96,18423
0.7,Very Good,G,SI1,62.1,56.0,5.64,5.67,3.51,2175
0.3,Ideal,F,VS1,61.7,56.0,4.32,4.34,2.67,570
0.39,Good,F,SI1,63.6,58.0,4.6,4.65,2.94,718
0.32,Ideal,G,VVS2,62.0,54.0,4.39,4.42,2.73,708
0.7,Very Good,F,SI1,61.9,58.0,5.71,5.72,3.54,2900
0.73,Good,G,I1,63.9,55.0,5.76,5.69,3.65,1210
1.31,Ideal,F,VS1,61.7,56.0,7.02,7.04,4.34,11136
0.7,Ideal,J,VS1,62.8,56.0,5.64,5.66,3.55,2000
0.3,Premium,H,VS1,61.0,58.0,4.31,4.28,2.62,675
1.07,Ideal,I,VS2,61.1,57.0,6.66,6.6,4.05,4319
0.41,Good,E,VVS1,64.1,55.0,4.71,4.68,3.01,1298
1.0,Very Good,E,I1,63.0,57.0,6.32,6.35,3.99,3300
2.17,Premium,F,SI2,59.3,61.0,8.6,8.53,5.08,13084
0.71,Ideal,E,VS2,61.0,55.0,5.79,5.75,3.52,2863
1.03,Premium,E,VVS1,58.8,59.0,6.63,6.6,3.89,11538
1.01,Ideal,E,SI2,59.2,56.0,6.63,6.59,3.91,4751
0.9,Ideal,H,VS2,61.9,58.0,6.2,6.24,3.85,4403
0.56,Ideal,D,VS1,61.7,56.0,5.3,5.33,3.28,1924
1.0,Premium,F,SI1,62.7,59.0,6.36,6.4,4.0,5197
0.54,Ideal,D,VS2,61.1,57.0,5.22,5.25,3.2,1892
0.34,Ideal,G,VS2,62.9,55.0,4.52,4.45,2.82,765
0.7,Fair,G,I1,67.3,57.0,5.53,5.38,3.68,956
1.01,Premium,F,SI2,61.6,58.0,6.39,6.4,3.94,4416
1.0,Premium,E,VS2,61.5,58.0,6.39,6.42,3.94,6600
1.7,Fair,H,SI2,64.5,55.0,7.58,7.52,4.87,9682
0.46,Premium,D,VVS1,60.0,59.0,5.04,5.0,3.01,1947
0.7,Ideal,F,VS2,61.6,57.0,5.76,5.71,3.53,2657
0.29,Very Good,G,VVS1,61.5,57.0,4.24,4.27,2.62,607
0.39,Ideal,I,SI1,62.4,54.0,4.67,4.69,2.92,534
0.7,Good,D,SI1,64.2,60.0,5.62,5.59,3.6,2318
1.01,Good,F,VS1,63.3,60.0,6.32,6.35,4.01,6999
2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,15486
1.37,Premium,G,SI2,59.6,60.0,7.24,7.18,4.3,6495
0.53,Ideal,H,VS2,62.5,54.0,5.17,5.2,3.24,1353
1.0,Premium,G,VS2,60.0,59.0,6.52,6.47,3.9,5967
1.0,Good,F,SI2,60.2,65.0,6.38,6.41,3.85,4386
0.32,Ideal,D,VS2,61.1,56.0,4.41,4.39,2.69,972
0.51,Good,E,VVS2,62.0,60.5,5.05,5.08,3.15,1980
2.4,Ideal,J,SI1,60.6,57.0,8.62,8.76,5.26,16274
1.06,Ideal,D,SI2,62.3,55.0,6.5,6.54,4.06,5159
1.52,Very Good,G,VS2,63.3,57.0,7.32,7.27,4.62,11338
0.33,Ideal,G,VS1,60.1,55.0,4.5,4.55,2.72,666
1.6,Premium,J,VS1,62.6,59.0,7.51,7.4,4.66,7903
0.51,Ideal,H,VS1,61.2,55.0,5.17,5.19,3.17,1780
0.42,Very Good,E,SI1,61.4,54.0,4.83,4.87,2.98,728
0.3,Ideal,G,VS2,61.8,56.0,4.29,4.32,2.66,507
0.58,Ideal,H,IF,60.2,56.0,5.43,5.46,3.28,2233
0.7,Very Good,F,VS2,60.5,58.0,5.78,5.83,3.51,2437
0.8,Very Good,G,SI2,63.0,55.0,5.92,5.95,3.74,2616
0.9,Very Good,H,VS1,62.9,58.0,6.06,6.12,3.83,4309
0.33,Ideal,E,VS2,62.1,56.0,4.43,4.46,2.76,723
0.9,Good,G,VS1,63.9,60.0,6.09,6.14,3.91,4479
0.48,Ideal,F,SI2,61.0,57.0,5.05,5.08,3.09,918
1.01,Premium,I,SI1,61.8,59.0,6.44,6.37,3.96,4242
1.08,Premium,G,SI2,60.7,60.0,6.64,6.61,4.02,4318
0.39,Premium,G,SI1,60.9,58.0,4.73,4.7,2.87,878
0.32,Ideal,I,VVS2,62.6,54.0,4.37,4.41,2.75,561
1.51,Premium,H,SI1,58.0,59.0,7.57,7.54,4.38,10063
0.71,Good,G,VS1,63.5,55.0,5.64,5.66,3.59,2853
0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87,554
0.3,Ideal,I,VVS1,61.1,57.0,4.36,4.32,2.65,709
0.34,Ideal,H,IF,61.9,53.0,4.5,4.52,2.79,863
0.27,Very Good,D,VVS1,62.3,54.0,4.18,4.21,2.61,721
0.73,Ideal,G,VVS1,61.9,57.0,5.76,5.8,3.58,3669
1.52,Premium,H,SI1,62.5,58.0,7.33,7.29,4.57,10078
0.7,Very Good,G,VVS2,63.3,59.0,5.59,5.62,3.55,2905
0.41,Premium,D,VVS2,61.8,58.0,4.75,4.79,2.95,1295
0.72,Ideal,D,VS2,62.1,57.0,5.69,5.75,3.55,3179
1.02,Very Good,F,VVS2,62.9,59.0,6.37,6.42,4.02,8940
1.01,Good,I,VS1,64.2,60.0,6.35,6.27,4.05,3484
